"id","trial","type","explain","card1","card2","card3","trialid","memory",,,,,,,,,,
"pa6.02.a",10,14,0,3323,3322,3321,85301,0,,,,,,,,,,
"pa6.02.a",11,-11,0,3222,1213,3213,32808,0,,,,,,,,,,
"pa6.02.a",12,-1,0,3212,3123,3332,83869,0,,,,,,,,,,
"pa6.02.a",13,4,0,2132,1121,3113,11111,0,,,,,,,,,,
"pa6.02.a",14,0,0,3212,2121,1333,59275,0,,,,,,,,,,
"pa6.02.a",15,-4,0,3222,2333,1211,27801,0,,,,,,,,,,
"pa6.02.a",16,11,0,3221,3121,3321,83453,0,,,,,,,,,,
"pa6.02.a",17,1,0,3233,2313,1123,17258,0,,,,,,,,,,
"pa6.02.a",18,-14,0,1311,2333,1212,28662,0,,,,,,,,,,
"pa6.02.a",19,0,0,1112,2323,3231,5795,0,,,,,,,,,,
"pa6.02.a",20,-2,0,1322,1311,1313,45672,0,,,,,,,,,,
"pa6.02.a",21,0,0,1211,2333,3122,27792,0,,,,,,,,,,
"pa6.02.a",22,-7,0,2131,2231,2112,62101,0,,,,,,,,,,
"pa6.02.a",23,13,0,1112,1132,1122,3318,0,,,,,,,,,,
"pa6.02.a",24,8,0,3331,3213,3122,83673,0,,,,,,,,,,
"pa6.02.b",1,15,1,1133,1133,1133,85393,0,,,,,,,,,,
"pa6.02.b",2,-1,1,2323,3333,1312,48895,0,,,,,,,,,,
"pa6.02.b",3,14,1,3132,3131,3133,83991,0,,,,,,,,,,
"pa6.02.b",4,-11,1,3112,2212,3323,72676,0,,,,,,,,,,
"pa6.02.b",5,0,0,2221,1133,3312,24853,1,,,,,,,,,,
"pa6.02.b",6,-13,0,3313,3322,2233,78161,0,,,,,,,,,,
"pa6.02.b",7,2,0,3123,1221,2322,34718,0,,,,,,,,,,
"pa6.02.b",8,7,0,1121,3121,2121,10922,1,,,,,,,,,,
"pa6.02.b",9,-8,0,2321,2232,1113,8546,1,,,,,,,,,,
"pa6.02.b",10,4,0,1132,2121,3113,21875,1,,,,,,,,,,
"pa6.02.b",11,14,0,3132,3131,3133,83991,1,,,,,,,,,,
"pa6.02.b",12,-1,0,3331,2311,1323,55463,0,,,,,,,,,,
"pa6.02.b",13,-11,0,1331,3122,3231,57358,0,,,,,,,,,,
"pa6.02.b",14,0,0,3211,2333,1122,14652,0,,,,,,,,,,
"pa6.02.b",15,11,0,3323,3223,3123,83921,1,,,,,,,,,,
"pa6.02.b",16,-14,0,3232,1211,1313,26385,0,,,,,,,,,,
"pa6.02.b",17,-4,0,3121,3233,3112,82758,0,,,,,,,,,,
"pa6.02.b",18,0,0,3222,1111,2333,2796,1,,,,,,,,,,
"pa6.02.b",19,1,0,2131,1311,3221,46405,1,,,,,,,,,,
"pa6.02.b",20,0,0,1222,2133,3311,36417,0,,,,,,,,,,
"pa6.02.b",21,8,0,1222,1133,1311,23407,1,,,,,,,,,,
"pa6.02.b",22,-2,0,3223,1333,2123,59376,1,,,,,,,,,,
"pa6.02.b",23,-7,0,2222,3223,1332,58293,0,,,,,,,,,,
"pa6.02.b",24,13,0,3122,3112,3132,82770,0,,,,,,,,,,
"pa6.02.c",1,15,1,1231,1231,1231,85342,0,,,,,,,,,,
"pa6.02.c",2,-1,1,1332,2322,3313,58614,0,,,,,,,,,,
"pa6.02.c",3,14,1,3333,3331,3332,85320,0,,,,,,,,,,
"pa6.02.c",4,-11,1,3313,3311,1323,56026,0,,,,,,,,,,
"pa6.02.c",5,7,0,2121,1121,3121,10922,1,,,,,,,,,,
"pa6.02.c",6,-13,0,2133,2113,1222,36095,0,,,,,,,,,,
"pa6.02.c",7,2,0,2221,1123,3322,16971,0,,,,,,,,,,
"pa6.02.c",8,0,0,3312,2221,1133,24853,1,,,,,,,,,,
"pa6.02.c",9,-8,0,1113,2232,2321,8546,1,,,,,,,,,,
"pa6.02.c",10,14,0,3133,3131,3132,83991,1,,,,,,,,,,
"pa6.02.c",11,-11,0,1221,1132,2331,20817,0,,,,,,,,,,
"pa6.02.c",12,-1,0,3233,1213,2221,32097,0,,,,,,,,,,
"pa6.02.c",13,4,0,3113,1132,2121,21875,1,,,,,,,,,,
"pa6.02.c",14,0,0,1112,2221,3333,5421,0,,,,,,,,,,
"pa6.02.c",15,-14,0,3331,1111,3111,2833,0,,,,,,,,,,
"pa6.02.c",16,11,0,3323,3123,3223,83921,1,,,,,,,,,,
"pa6.02.c",17,-4,0,2323,3112,1131,20036,0,,,,,,,,,,
"pa6.02.c",18,1,0,1311,2131,3221,46405,1,,,,,,,,,,
